Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A3M6TRD9	A0A3M6TRD9_POCDA	unreviewed	pdam_00023928	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MACPF domain-containing protein	302			RMX43828.1
A0A2B4RP36	A0A2B4RP36_STYPI	unreviewed	AWC38_SpisGene16220	Stylophora pistillata (Smooth cauliflower coral)	SAP domain-containing protein	444			PFX19361.1
A0A3M6TMH4	A0A3M6TMH4_POCDA	unreviewed	pdam_00010278	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	364	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX42625.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A3M6U4R6	A0A3M6U4R6_POCDA	unreviewed	pdam_00015213	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	623			RMX48468.1
A0A3M6UBB9	A0A3M6UBB9_POCDA	unreviewed	pdam_00017247	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	363	endonuclease activity [GO:0004519]	GO:0004519	RMX50866.1
A0A3M6UG31	A0A3M6UG31_POCDA	unreviewed	pdam_00019397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	655			RMX52576.1
A0A2B4RQ60	A0A2B4RQ60_STYPI	unreviewed	NLRC3 AWC38_SpisGene16663	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1167			PFX18943.1
A0A2B4R9X2	A0A2B4R9X2_STYPI	unreviewed	pol AWC38_SpisGene22775	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	701	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13167.1
A0A2B4RUA9	A0A2B4RUA9_STYPI	unreviewed	ATM AWC38_SpisGene15663	Stylophora pistillata (Smooth cauliflower coral)	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	2933	nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; DNA repair [GO:0006281]	GO:0005524; GO:0005634; GO:0006281; GO:0106310; GO:0106311	PFX19908.1
A0A3M6V4D2	A0A3M6V4D2_POCDA	unreviewed	pdam_00007783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1009	integral component of membrane [GO:0016021]	GO:0016021	RMX60806.1
A0A3M6USB0	A0A3M6USB0_POCDA	unreviewed	pdam_00007221	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	276	integral component of membrane [GO:0016021]	GO:0016021	RMX56556.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A2B4R5H7	A0A2B4R5H7_STYPI	unreviewed	brms1la AWC38_SpisGene24031	Stylophora pistillata (Smooth cauliflower coral)	Breast cancer metastasis-suppressor 1-like protein-A	248	nucleus [GO:0005634]	GO:0005634	PFX12069.1
A0A3M6UKU6	A0A3M6UKU6_POCDA	unreviewed	pdam_00011997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	115	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005743; GO:0016021	RMX54286.1
A0A3M6UEW4	A0A3M6UEW4_POCDA	unreviewed	pdam_00019206	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	216	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]	GO:0005789; GO:0006488; GO:0016021; GO:0031965	RMX52217.1
A0A2B4RPQ0	A0A2B4RPQ0_STYPI	unreviewed	AWC38_SpisGene17329	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1160			PFX18298.1
A0A2B4SJI6	A0A2B4SJI6_STYPI	unreviewed	PIF1 AWC38_SpisGene5982	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	2702	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX29269.1
A0A3M6UWQ2	A0A3M6UWQ2_POCDA	unreviewed	pdam_00025318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1706	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX58102.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6V3V0	A0A3M6V3V0_POCDA	unreviewed	pdam_00001367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	834	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX60602.1
A0A3M6V3V9	A0A3M6V3V9_POCDA	unreviewed	pdam_00001366	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	467			RMX60601.1
A0A3M6U2F2	A0A3M6U2F2_POCDA	unreviewed	pdam_00024564	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255			RMX47704.1
A0A3M6UI30	A0A3M6UI30_POCDA	unreviewed	pdam_00025057	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	85	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX53333.1
A0A3M6UGX5	A0A3M6UGX5_POCDA	unreviewed	pdam_00021619	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Pentaxin (Pentraxin)	197	extracellular region [GO:0005576]; metal ion binding [GO:0046872]	GO:0005576; GO:0046872	RMX52901.1
A0A3M6T5N2	A0A3M6T5N2_POCDA	unreviewed	pdam_00015822	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase C (EC 2.7.11.13)	806	membrane [GO:0016020]; ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; intracellular signal transduction [GO:0035556]	GO:0004698; GO:0005524; GO:0016020; GO:0035556; GO:0106310; GO:0106311	RMX36691.1
A0A2B4RQJ1	A0A2B4RQJ1_STYPI	unreviewed	K02A2.6 AWC38_SpisGene16523	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	597	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX19073.1
A0A3M6UZQ7	A0A3M6UZQ7_POCDA	unreviewed	pdam_00009829	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	652			RMX59132.1
A0A3M6U4B3	A0A3M6U4B3_POCDA	unreviewed	pdam_00008498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1134	protein homooligomerization [GO:0051260]	GO:0051260	RMX48525.1
A0A2B4SDU2	A0A2B4SDU2_STYPI	unreviewed	TRAF6 AWC38_SpisGene7771	Stylophora pistillata (Smooth cauliflower coral)	TNF receptor-associated factor 6	476	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981	PFX27536.1
A0A3M6UQ55	A0A3M6UQ55_POCDA	unreviewed	pdam_00015510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1485	integral component of membrane [GO:0016021]	GO:0016021	RMX55751.1
A0A3M6TQF4	A0A3M6TQF4_POCDA	unreviewed	pdam_00001987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	661	oxidoreductase activity [GO:0016491]	GO:0016491	RMX43494.1
A0A3M6T5S6	A0A3M6T5S6_POCDA	unreviewed	pdam_00023575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein (Fragment)	949			RMX36659.1
A0A3M6T5J6	A0A3M6T5J6_POCDA	unreviewed	pdam_00023574	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	1055	signal transduction [GO:0007165]	GO:0007165	RMX36660.1
A0A2B4R5H2	A0A2B4R5H2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22308	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1488	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270; GO:0046983	PFX13594.1
A0A2B4RSS4	A0A2B4RSS4_STYPI	unreviewed	KNTC1 AWC38_SpisGene16180	Stylophora pistillata (Smooth cauliflower coral)	Kinetochore-associated protein 1	1827			PFX19397.1
A0A2B4RF56	A0A2B4RF56_STYPI	unreviewed	AWC38_SpisGene20333	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	738	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX15443.1
A0A3M6TM73	A0A3M6TM73_POCDA	unreviewed	pdam_00022262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	461			RMX42507.1
A0A3M6U9I9	A0A3M6U9I9_POCDA	unreviewed	pdam_00006921	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	337	membrane [GO:0016020]; calcium ion binding [GO:0005509]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0005509; GO:0016020	RMX50323.1
A0A2B4RY49	A0A2B4RY49_STYPI	unreviewed	ABCC4 AWC38_SpisGene13774	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1004	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX21729.1
A0A2B4RZ33	A0A2B4RZ33_STYPI	unreviewed	tll2 AWC38_SpisGene13082	Stylophora pistillata (Smooth cauliflower coral)	Tolloid-like protein 2	1011	integral component of membrane [GO:0016021]	GO:0016021	PFX22406.1
A0A2B4RT93	A0A2B4RT93_STYPI	unreviewed	AWC38_SpisGene16065	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	283			PFX19538.1
A0A3M6TMN2	A0A3M6TMN2_POCDA	unreviewed	pdam_00010264	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	512			RMX42647.1
A0A2B4RRH0	A0A2B4RRH0_STYPI	unreviewed	AWC38_SpisGene16771	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	503			PFX18832.1
A0A2B4REP7	A0A2B4REP7_STYPI	unreviewed	pol AWC38_SpisGene21063	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon opus	963			PFX14755.1
A0A2B4SRD0	A0A2B4SRD0_STYPI	unreviewed	COL24A1 AWC38_SpisGene3249	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-1(XXIV) chain	1803	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581	PFX31926.1
A0A3M6TPI5	A0A3M6TPI5_POCDA	unreviewed	pdam_00021518	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein	485			RMX43335.1
A0A3M6TDI6	A0A3M6TDI6_POCDA	unreviewed	pdam_00015403	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphoinositide phospholipase C (EC 3.1.4.11)	1293	phosphatidylinositol phospholipase C activity [GO:0004435]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]	GO:0004435; GO:0016042; GO:0035556	RMX39497.1
A0A2B4RJY1	A0A2B4RJY1_STYPI	unreviewed	AWC38_SpisGene19151	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	885			PFX16565.1
A0A2B4T1H1	A0A2B4T1H1_STYPI	unreviewed	K02A2.6 AWC38_SpisGene683	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	772	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX34507.1
A0A2B4S7H7	A0A2B4S7H7_STYPI	unreviewed	pol AWC38_SpisGene8723	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	739			PFX26614.1
A0A2B4R905	A0A2B4R905_STYPI	unreviewed	AWC38_SpisGene23105	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	260			PFX12868.1
A0A2B4RQW0	A0A2B4RQW0_STYPI	unreviewed	mshA AWC38_SpisGene16405	Stylophora pistillata (Smooth cauliflower coral)	D-inositol 3-phosphate glycosyltransferase	1287	cysteine-type endopeptidase activity [GO:0004197]; transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0004197; GO:0007165; GO:0016757	PFX19183.1
A0A3M6US35	A0A3M6US35_POCDA	unreviewed	pdam_00008838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	244			RMX56462.1
A0A3M6UE52	A0A3M6UE52_POCDA	unreviewed	pdam_00025146	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PK_Tyr_Ser-Thr domain-containing protein	837	protein kinase activity [GO:0004672]	GO:0004672	RMX51846.1
A0A2B4SDS3	A0A2B4SDS3_STYPI	unreviewed	G2E3 AWC38_SpisGene8362	Stylophora pistillata (Smooth cauliflower coral)	G2/M phase-specific E3 ubiquitin-protein ligase	622	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX26970.1
A0A3M6U700	A0A3M6U700_POCDA	unreviewed	pdam_00015299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	135	signal transduction [GO:0007165]	GO:0007165	RMX49407.1
A0A3M6TDE4	A0A3M6TDE4_POCDA	unreviewed	pdam_00005946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Amino_oxidase domain-containing protein	518	oxidoreductase activity [GO:0016491]	GO:0016491	RMX39406.1
A0A3M6TDF0	A0A3M6TDF0_POCDA	unreviewed	pdam_00005948	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	378	integral component of membrane [GO:0016021]	GO:0016021	RMX39410.1
A0A2B4R7D0	A0A2B4R7D0_STYPI	unreviewed	TTC28 AWC38_SpisGene23803	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	652			PFX12267.1
A0A3M6TYT9	A0A3M6TYT9_POCDA	unreviewed	pdam_00018707	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	405			RMX46516.1
A0A2B4RED9	A0A2B4RED9_STYPI	unreviewed	AWC38_SpisGene21120	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine-protein kinase SPK-1	1542	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX14707.1
A0A2B4SK90	A0A2B4SK90_STYPI	unreviewed	AWC38_SpisGene6324	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1030	integral component of membrane [GO:0016021]	GO:0016021	PFX28947.1
A0A3M6THN9	A0A3M6THN9_POCDA	unreviewed	pdam_00023758	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	223			RMX40943.1
A0A3M6TDK4	A0A3M6TDK4_POCDA	unreviewed	pdam_00025107	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1914	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	RMX39369.1
A0A3M6TIM1	A0A3M6TIM1_POCDA	unreviewed	pdam_00012397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sulfatase domain-containing protein	135	sulfuric ester hydrolase activity [GO:0008484]	GO:0008484	RMX41257.1
A0A2B4SJ88	A0A2B4SJ88_STYPI	unreviewed	AWC38_SpisGene6069	Stylophora pistillata (Smooth cauliflower coral)	MULE domain-containing protein	795			PFX29163.1
A0A2B4RMV4	A0A2B4RMV4_STYPI	unreviewed	moxd1 AWC38_SpisGene17494	Stylophora pistillata (Smooth cauliflower coral)	DBH-like monooxygenase protein 1-like	1059	dopamine beta-monooxygenase activity [GO:0004500]	GO:0004500	PFX18143.1
A0A3M6V4V6	A0A3M6V4V6_POCDA	unreviewed	pdam_00014198	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin-like protein	659	microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0005874; GO:0007018; GO:0008017; GO:1990939	RMX60986.1
A0A3M6V5P6	A0A3M6V5P6_POCDA	unreviewed	pdam_00020936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	406			RMX61303.1
A0A3M6TC04	A0A3M6TC04_POCDA	unreviewed	pdam_00024956	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255	calcium ion binding [GO:0005509]	GO:0005509	RMX38903.1
A0A2B4RNC6	A0A2B4RNC6_STYPI	unreviewed	TTC28 AWC38_SpisGene15619	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	946			PFX19934.1
A0A2B4S7V0	A0A2B4S7V0_STYPI	unreviewed	CSTF1 AWC38_SpisGene8607	Stylophora pistillata (Smooth cauliflower coral)	One cut domain family member	392	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	PFX26734.1
A0A3M6UKM5	A0A3M6UKM5_POCDA	unreviewed	pdam_00013653	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	868			RMX54227.1
A0A3M6UKS4	A0A3M6UKS4_POCDA	unreviewed	pdam_00013651	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	880	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX54225.1
A0A3M6U9R0	A0A3M6U9R0_POCDA	unreviewed	pdam_00023365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	339	calcium ion binding [GO:0005509]	GO:0005509	RMX50425.1
A0A3M6TMV1	A0A3M6TMV1_POCDA	unreviewed	pdam_00014147	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	667			RMX42753.1
A0A2B4SP54	A0A2B4SP54_STYPI	unreviewed	AWC38_SpisGene2692	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1036			PFX32454.1
A0A3M6TWY3	A0A3M6TWY3_POCDA	unreviewed	pdam_00024287	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	970			RMX45804.1
A0A2B4RJY6	A0A2B4RJY6_STYPI	unreviewed	AWC38_SpisGene19036	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1043			PFX16677.1
A0A2B4RTC0	A0A2B4RTC0_STYPI	unreviewed	TTN AWC38_SpisGene15990	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	3833	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19597.1
A0A3M6UPZ6	A0A3M6UPZ6_POCDA	unreviewed	pdam_00024153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein (Fragment)	1185	nucleotide binding [GO:0000166]	GO:0000166	RMX55428.1
A0A3M6UR49	A0A3M6UR49_POCDA	unreviewed	pdam_00015875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment)	607	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX56203.1
A0A2B4RCH1	A0A2B4RCH1_STYPI	unreviewed	pol AWC38_SpisGene21796	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	623			PFX14078.1
A0A2B4SHT2	A0A2B4SHT2_STYPI	unreviewed	AWC38_SpisGene7287	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	833	integral component of membrane [GO:0016021]	GO:0016021	PFX28042.1
A0A3M6UKQ8	A0A3M6UKQ8_POCDA	unreviewed	pdam_00023254	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	264			RMX54260.1
A0A2B4REY4	A0A2B4REY4_STYPI	unreviewed	4 AWC38_SpisGene19568	Stylophora pistillata (Smooth cauliflower coral)	Calmodulin	309	calcium ion binding [GO:0005509]	GO:0005509	PFX16171.1
A0A3M6U8W6	A0A3M6U8W6_POCDA	unreviewed	pdam_00002890	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TNF_2 domain-containing protein	163	membrane [GO:0016020]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]	GO:0005164; GO:0006955; GO:0016020	RMX50125.1
A0A2B4RXM1	A0A2B4RXM1_STYPI	unreviewed	AWC38_SpisGene13963	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	821			PFX21549.1
A0A2B4SL27	A0A2B4SL27_STYPI	unreviewed	AWC38_SpisGene5161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	456			PFX30076.1
A0A2B4S2N6	A0A2B4S2N6_STYPI	unreviewed	CFDP2 AWC38_SpisGene11760	Stylophora pistillata (Smooth cauliflower coral)	Craniofacial development protein 2	742	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	PFX23676.1
A0A3M6V2B6	A0A3M6V2B6_POCDA	unreviewed	pdam_00026027	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein (Fragment)	146			RMX59708.1
A0A3M6V0Y6	A0A3M6V0Y6_POCDA	unreviewed	pdam_00003597	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	228			RMX59550.1
A0A3M6T962	A0A3M6T962_POCDA	unreviewed	pdam_00023987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1111	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX37922.1
