Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A2B4RY63	A0A2B4RY63_STYPI	unreviewed	GPR133 AWC38_SpisGene13764	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	1087	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX21739.1
A0A3M6UVA6	A0A3M6UVA6_POCDA	unreviewed	pdam_00005802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	220			RMX57560.1
A0A3M6UGJ1	A0A3M6UGJ1_POCDA	unreviewed	pdam_00014227	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	104	signal transduction [GO:0007165]	GO:0007165	RMX52762.1
A0A3M6UDU0	A0A3M6UDU0_POCDA	unreviewed	pdam_00008109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein	659	cytoplasm [GO:0005737]; signal transduction [GO:0007165]	GO:0005737; GO:0007165	RMX51674.1
A0A3M6UG25	A0A3M6UG25_POCDA	unreviewed	pdam_00022923	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF5641 domain-containing protein (Fragment)	83			RMX52637.1
A0A2B4SWX5	A0A2B4SWX5_STYPI	unreviewed	NOTUM AWC38_SpisGene1252	Stylophora pistillata (Smooth cauliflower coral)	Protein notum-like	758	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	GO:0016021; GO:0016787	PFX33836.1
A0A3M6UM71	A0A3M6UM71_POCDA	unreviewed	pdam_00011535	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	247	integral component of membrane [GO:0016021]	GO:0016021	RMX54709.1
A0A2B4RQZ2	A0A2B4RQZ2_STYPI	unreviewed	AWC38_SpisGene16654	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	323			PFX18970.1
A0A2B4S2V3	A0A2B4S2V3_STYPI	unreviewed	HET-E1 AWC38_SpisGene12617	Stylophora pistillata (Smooth cauliflower coral)	Vegetative incompatibility protein HET-E-1	1458			PFX22842.1
A0A2B4S691	A0A2B4S691_STYPI	unreviewed	AWC38_SpisGene11450	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	387			PFX24005.1
A0A3M6UU67	A0A3M6UU67_POCDA	unreviewed	pdam_00024069	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	596	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	GO:0005737; GO:0046872	RMX57211.1
A0A3M6UPA5	A0A3M6UPA5_POCDA	unreviewed	pdam_00019376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	458			RMX55455.1
A0A3M6U4G2	A0A3M6U4G2_POCDA	unreviewed	pdam_00008503	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TLDc domain-containing protein	622	protein homooligomerization [GO:0051260]	GO:0051260	RMX48487.1
A0A2B4S901	A0A2B4S901_STYPI	unreviewed	AWC38_SpisGene8171	Stylophora pistillata (Smooth cauliflower coral)	Alcohol dehydrogenase class-3	1534	nucleic acid binding [GO:0003676]; oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074; GO:0016491	PFX27144.1
A0A3M6TND9	A0A3M6TND9_POCDA	unreviewed	pdam_00005103	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	282			RMX42828.1
A0A2B4R8B0	A0A2B4R8B0_STYPI	unreviewed	nlrc4 AWC38_SpisGene22887	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1441			PFX13063.1
A0A2B4RZC3	A0A2B4RZC3_STYPI	unreviewed	slc17a6b AWC38_SpisGene13935	Stylophora pistillata (Smooth cauliflower coral)	Vesicular glutamate transporter 2.1	648	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX21595.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A3M6TGC2	A0A3M6TGC2_POCDA	unreviewed	pdam_00009468	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2278			RMX40443.1
A0A0L8H028	A0A0L8H028_OCTBM	unreviewed	OCBIM_22025147mg	Octopus bimaculoides (California two-spotted octopus)	Uncharacterized protein	195			KOF82557.1
A0A2B4SC59	A0A2B4SC59_STYPI	unreviewed	yugO AWC38_SpisGene9157	Stylophora pistillata (Smooth cauliflower coral)	Putative potassium channel protein YugO	992	integral component of membrane [GO:0016021]	GO:0016021	PFX26167.1
A0A3M6TGV1	A0A3M6TGV1_POCDA	unreviewed	pdam_00023885	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	243			RMX40613.1
A0A3M6TTJ0	A0A3M6TTJ0_POCDA	unreviewed	pdam_00018126	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1352	integral component of membrane [GO:0016021]; apoptotic process [GO:0006915]; signal transduction [GO:0007165]	GO:0006915; GO:0007165; GO:0016021	RMX44554.1
A0A3M6U365	A0A3M6U365_POCDA	unreviewed	pdam_00005341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	1131	integral component of membrane [GO:0016021]	GO:0016021	RMX47984.1
A0A3M6V106	A0A3M6V106_POCDA	unreviewed	pdam_00020263	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2244	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX59605.1
A0A3M6U9W2	A0A3M6U9W2_POCDA	unreviewed	pdam_00022727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	signal transduction [GO:0007165]	GO:0007165	RMX50376.1
A0A3M6UJ31	A0A3M6UJ31_POCDA	unreviewed	pdam_00000478	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	434			RMX53680.1
A0A3M6TQX3	A0A3M6TQX3_POCDA	unreviewed	pdam_00017045	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	154	integral component of membrane [GO:0016021]	GO:0016021	RMX43807.1
A0A2B4S5E5	A0A2B4S5E5_STYPI	unreviewed	TTC28 AWC38_SpisGene9444	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2592			PFX25914.1
A0A3M6TZ15	A0A3M6TZ15_POCDA	unreviewed	pdam_00023911	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltranfer_dom domain-containing protein	277			RMX46685.1
A0A3M6UUW6	A0A3M6UUW6_POCDA	unreviewed	pdam_00023480	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	306			RMX57397.1
A0A3M6UN82	A0A3M6UN82_POCDA	unreviewed	pdam_00022530	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	69			RMX54818.1
A0A3M6TYL1	A0A3M6TYL1_POCDA	unreviewed	pdam_00024814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	266	integral component of membrane [GO:0016021]	GO:0016021	RMX46493.1
A0A3M6U291	A0A3M6U291_POCDA	unreviewed	pdam_00012341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2446	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0005509; GO:0005886; GO:0016021; GO:0020037	RMX47737.1
A0A2B4RKB2	A0A2B4RKB2_STYPI	unreviewed	AWC38_SpisGene18773	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX16930.1
A0A3M6UMJ0	A0A3M6UMJ0_POCDA	unreviewed	pdam_00022531	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase catalytic domain-containing protein	234	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RMX54819.1
A0A3M6US51	A0A3M6US51_POCDA	unreviewed	pdam_00025267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	235			RMX56394.1
A0A3M6UR02	A0A3M6UR02_POCDA	unreviewed	pdam_00024425	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	633			RMX55778.1
A0A3M6TTW1	A0A3M6TTW1_POCDA	unreviewed	pdam_00009266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	253			RMX44843.1
A0A3M6UUK3	A0A3M6UUK3_POCDA	unreviewed	pdam_00020592	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	252			RMX57315.1
A0A3M6UGE6	A0A3M6UGE6_POCDA	unreviewed	pdam_00014219	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	590			RMX52751.1
A0A3M6UIH7	A0A3M6UIH7_POCDA	unreviewed	pdam_00025832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	650			RMX53490.1
A0A2B4SKT4	A0A2B4SKT4_STYPI	unreviewed	F54H12.3 AWC38_SpisGene5776	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	1308	cysteine-type peptidase activity [GO:0008234]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004386; GO:0008234; GO:0015074; GO:0046872	PFX29480.1
A0A2B4R5C4	A0A2B4R5C4_STYPI	unreviewed	AWC38_SpisGene22361	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	562	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX13544.1
A0A2B4SJI6	A0A2B4SJI6_STYPI	unreviewed	PIF1 AWC38_SpisGene5982	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	2702	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX29269.1
A0A3M6UMD4	A0A3M6UMD4_POCDA	unreviewed	pdam_00025874	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	259			RMX54694.1
A0A2V1GSZ7	A0A2V1GSZ7_9GAMM	unreviewed	DC094_11190	Pelagibaculum spongiae	Sodium:alanine symporter family protein	464	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alanine:sodium symporter activity [GO:0015655]	GO:0005886; GO:0015655; GO:0016021	PVZ68815.1
A0A3M6UPI2	A0A3M6UPI2_POCDA	unreviewed	pdam_00024529	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	238			RMX55542.1
A0A3M6ULU6	A0A3M6ULU6_POCDA	unreviewed	pdam_00025868	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	51			RMX54637.1
A0A2B4S6U5	A0A2B4S6U5_STYPI	unreviewed	AWC38_SpisGene11080	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	276			PFX24307.1
A0A3M6UCH3	A0A3M6UCH3_POCDA	unreviewed	pdam_00004092	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	282	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX51224.1
A0A3M6UAS2	A0A3M6UAS2_POCDA	unreviewed	pdam_00017146	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FAD-binding PCMH-type domain-containing protein (Fragment)	488	membrane [GO:0016020]; D-arabinono-1,4-lactone oxidase activity [GO:0003885]; FAD binding [GO:0071949]	GO:0003885; GO:0016020; GO:0071949	RMX50649.1
A0A2B4RGB9	A0A2B4RGB9_STYPI	unreviewed	AWC38_SpisGene20468	Stylophora pistillata (Smooth cauliflower coral)	CUE domain-containing protein	250	ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0043130	PFX15315.1
A0A3M6TU73	A0A3M6TU73_POCDA	unreviewed	pdam_00017358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	407			RMX44977.1
A0A3M6UMZ9	A0A3M6UMZ9_POCDA	unreviewed	pdam_00007282	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1202	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX55063.1
A0A2B4R9M7	A0A2B4R9M7_STYPI	unreviewed	mshA AWC38_SpisGene22977	Stylophora pistillata (Smooth cauliflower coral)	D-inositol 3-phosphate glycosyltransferase	1190	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	PFX12985.1
A0A2B4RBA3	A0A2B4RBA3_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22255	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6 (Fragment)	1095	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13647.1
A0A3M6V0E0	A0A3M6V0E0_POCDA	unreviewed	pdam_00025713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	159			RMX59362.1
A0A3M6UUS8	A0A3M6UUS8_POCDA	unreviewed	pdam_00023482	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	549	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57395.1
A0A2B4RB30	A0A2B4RB30_STYPI	unreviewed	AWC38_SpisGene21851	Stylophora pistillata (Smooth cauliflower coral)	Exonuclease domain-containing protein	545	nucleic acid binding [GO:0003676]	GO:0003676	PFX14023.1
A0A3M6U7Z8	A0A3M6U7Z8_POCDA	unreviewed	pdam_00025938	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	238			RMX49689.1
A0A3M6TGR9	A0A3M6TGR9_POCDA	unreviewed	pdam_00007485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	141			RMX40499.1
A0A2B4RAM1	A0A2B4RAM1_STYPI	unreviewed	AWC38_SpisGene22512	Stylophora pistillata (Smooth cauliflower coral)	SEA domain-containing protein	603	integral component of membrane [GO:0016021]	GO:0016021	PFX13407.1
A0A2B4R905	A0A2B4R905_STYPI	unreviewed	AWC38_SpisGene23105	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	260			PFX12868.1
A0A2B4SK72	A0A2B4SK72_STYPI	unreviewed	NOC3L AWC38_SpisGene4158	Stylophora pistillata (Smooth cauliflower coral)	Nucleolar complex protein 3-like	420			PFX31084.1
A0A3M6TBT4	A0A3M6TBT4_POCDA	unreviewed	pdam_00025045	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	194			RMX38855.1
A0A3M6UL54	A0A3M6UL54_POCDA	unreviewed	pdam_00016907	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1516	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX54244.1
A0A3M6TMK4	A0A3M6TMK4_POCDA	unreviewed	pdam_00025172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	185			RMX42655.1
A0A3M6UIE7	A0A3M6UIE7_POCDA	unreviewed	pdam_00021998	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1798	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX53431.1
A0A2B4SBY7	A0A2B4SBY7_STYPI	unreviewed	Ttc28 AWC38_SpisGene7883	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2106			PFX27381.1
A0A2B4R7P0	A0A2B4R7P0_STYPI	unreviewed	Ncam1 AWC38_SpisGene23126	Stylophora pistillata (Smooth cauliflower coral)	Neural cell adhesion molecule 1	1906	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12849.1
A0A2B4RXN7	A0A2B4RXN7_STYPI	unreviewed	AWC38_SpisGene12220	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	231			PFX23214.1
A0A3M6UQ96	A0A3M6UQ96_POCDA	unreviewed	pdam_00022749	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1827	integral component of membrane [GO:0016021]	GO:0016021	RMX55528.1
A0A2B4RLA9	A0A2B4RLA9_STYPI	unreviewed	AWC38_SpisGene18075	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	336			PFX17593.1
A0A2B4T1C5	A0A2B4T1C5_STYPI	unreviewed	HMCN1 AWC38_SpisGene549	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	1791	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0016021; GO:0042151; GO:0090729	PFX34588.1
A0A3M6U3H9	A0A3M6U3H9_POCDA	unreviewed	pdam_00014703	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	256			RMX48157.1
A0A3M6V0I8	A0A3M6V0I8_POCDA	unreviewed	pdam_00025613	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	359	integral component of membrane [GO:0016021]	GO:0016021	RMX59410.1
A0A2B4RUA4	A0A2B4RUA4_STYPI	unreviewed	AWC38_SpisGene15759	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	378			PFX19835.1
A0A3M6UV97	A0A3M6UV97_POCDA	unreviewed	pdam_00024818	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	281			RMX57591.1
A0A3M6U2F6	A0A3M6U2F6_POCDA	unreviewed	pdam_00025945	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	450			RMX47842.1
A0A2B4RDD1	A0A2B4RDD1_STYPI	unreviewed	Cad96Ca AWC38_SpisGene21342	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	796	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX14490.1
A0A2B4STW8	A0A2B4STW8_STYPI	unreviewed	AWC38_SpisGene3248	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	915			PFX31927.1
A0A2B4SQA5	A0A2B4SQA5_STYPI	unreviewed	ddx24 AWC38_SpisGene3901	Stylophora pistillata (Smooth cauliflower coral)	RNA helicase (EC 3.6.4.13)	1037	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787	PFX31289.1
A0A3M6V2K3	A0A3M6V2K3_POCDA	unreviewed	pdam_00020380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SEA domain-containing protein (Fragment)	482	integral component of membrane [GO:0016021]	GO:0016021	RMX60029.1
A0A3M6UVQ0	A0A3M6UVQ0_POCDA	unreviewed	pdam_00004967	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	287	integral component of membrane [GO:0016021]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476; GO:0016021	RMX57700.1
A0A3M6TM49	A0A3M6TM49_POCDA	unreviewed	pdam_00014639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	575			RMX42334.1
A0A2B4RUA9	A0A2B4RUA9_STYPI	unreviewed	ATM AWC38_SpisGene15663	Stylophora pistillata (Smooth cauliflower coral)	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	2933	nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; DNA repair [GO:0006281]	GO:0005524; GO:0005634; GO:0006281; GO:0106310; GO:0106311	PFX19908.1
A0A2B4SWP4	A0A2B4SWP4_STYPI	unreviewed	AWC38_SpisGene2240	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	240			PFX32948.1
A0A2B4RSX4	A0A2B4RSX4_STYPI	unreviewed	AWC38_SpisGene15665	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	686			PFX19903.1
A0A3M6U888	A0A3M6U888_POCDA	unreviewed	pdam_00025583	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Core-binding (CB) domain-containing protein	1040	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX49847.1
A0A2B4R7H7	A0A2B4R7H7_STYPI	unreviewed	pif1 AWC38_SpisGene23898	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	522	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX12182.1
A0A2B4RBA7	A0A2B4RBA7_STYPI	unreviewed	AWC38_SpisGene20867	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	211			PFX14941.1
A0A2B4S4R7	A0A2B4S4R7_STYPI	unreviewed	Ret AWC38_SpisGene12017	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1554	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX23455.1
A0A2B4RFM0	A0A2B4RFM0_STYPI	unreviewed	AWC38_SpisGene19334	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	156			PFX16401.1
A0A2B4RZT5	A0A2B4RZT5_STYPI	unreviewed	Pkd2l1 AWC38_SpisGene13753	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease 2-like 1 protein	1894	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX21755.1
A0A2B4QZH0	A0A2B4QZH0_STYPI	unreviewed	DZIP3 AWC38_SpisGene24640	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase DZIP3	495			PFX11574.1
A0A3M6TIE1	A0A3M6TIE1_POCDA	unreviewed	pdam_00003279	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1074			RMX41126.1
A0A2B4R4W2	A0A2B4R4W2_STYPI	unreviewed	AWC38_SpisGene23331	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	530			PFX12671.1
A0A3M6T591	A0A3M6T591_POCDA	unreviewed	pdam_00017188	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	268	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	RMX36585.1
A0A2B4R9K7	A0A2B4R9K7_STYPI	unreviewed	AWC38_SpisGene22997	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	682	integral component of membrane [GO:0016021]	GO:0016021	PFX12965.1
A0A2B4S3B5	A0A2B4S3B5_STYPI	unreviewed	AWC38_SpisGene12391	Stylophora pistillata (Smooth cauliflower coral)	DNA-directed DNA polymerase (EC 2.7.7.7)	1004	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	PFX23058.1
A0A2B4S535	A0A2B4S535_STYPI	unreviewed	AWC38_SpisGene9561	Stylophora pistillata (Smooth cauliflower coral)	DDE_Tnp_IS1595 domain-containing protein	537			PFX25804.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A2B4RMV5	A0A2B4RMV5_STYPI	unreviewed	AWC38_SpisGene15792	Stylophora pistillata (Smooth cauliflower coral)	Tachylectin-2	898	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX19764.1
A0A081KB73	A0A081KB73_9GAMM	unreviewed	GV64_12170	Endozoicomonas elysicola	Ppx-GppA domain-containing protein	339			KEI71399.1
A0A2B4RDQ4	A0A2B4RDQ4_STYPI	unreviewed	AWC38_SpisGene21349	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	780			PFX14487.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4RJU0	A0A2B4RJU0_STYPI	unreviewed	pol AWC38_SpisGene16973	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	998	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX18664.1
A0A3M6UQG9	A0A3M6UQG9_POCDA	unreviewed	pdam_00006237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	464			RMX55892.1
A0A3M6UTG0	A0A3M6UTG0_POCDA	unreviewed	pdam_00025536	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	108			RMX56983.1
A0A2B4RPR3	A0A2B4RPR3_STYPI	unreviewed	TTC28 AWC38_SpisGene16823	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1388			PFX18789.1
A0A3M6UNW4	A0A3M6UNW4_POCDA	unreviewed	pdam_00026030	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	367			RMX55320.1
A0A3M6U2V6	A0A3M6U2V6_POCDA	unreviewed	pdam_00025921	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	161			RMX47916.1
