Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A3M6UAU3	A0A3M6UAU3_POCDA	unreviewed	pdam_00018281	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1165	integral component of membrane [GO:0016021]	GO:0016021	RMX50741.1
A0A3M6TRA7	A0A3M6TRA7_POCDA	unreviewed	pdam_00017067	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	448			RMX43798.1
A0A3M6TQN2	A0A3M6TQN2_POCDA	unreviewed	pdam_00016942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	164			RMX43649.1
A0A3M6UC23	A0A3M6UC23_POCDA	unreviewed	pdam_00004065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	306			RMX51201.1
A0A3M6UCC2	A0A3M6UCC2_POCDA	unreviewed	pdam_00004067	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	241			RMX51199.1
A0A3M6UBY1	A0A3M6UBY1_POCDA	unreviewed	pdam_00004069	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	184	integral component of membrane [GO:0016021]	GO:0016021	RMX51207.1
A0A3M6UC61	A0A3M6UC61_POCDA	unreviewed	pdam_00004071	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glyco_18 domain-containing protein (Fragment)	384	integral component of membrane [GO:0016021]; chitin binding [GO:0008061]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0008061; GO:0016021	RMX51242.1
A0A3M6UC25	A0A3M6UC25_POCDA	unreviewed	pdam_00004078	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1612	nucleus [GO:0005634]; metal ion binding [GO:0046872]	GO:0005634; GO:0046872	RMX51247.1
A0A3M6UCD6	A0A3M6UCD6_POCDA	unreviewed	pdam_00004081	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GOLD domain-containing protein (Fragment)	227	integral component of membrane [GO:0016021]	GO:0016021	RMX51184.1
A0A3M6U2F9	A0A3M6U2F9_POCDA	unreviewed	pdam_00011768	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Transmembrane 9 superfamily member	599	integral component of membrane [GO:0016021]	GO:0016021	RMX47776.1
A0A3M6U287	A0A3M6U287_POCDA	unreviewed	pdam_00011777	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Guanine nucleotide-binding protein subunit gamma	435	heterotrimeric G-protein complex [GO:0005834]; integral component of membrane [GO:0016021]; G-protein beta-subunit binding [GO:0031681]; G protein-coupled receptor signaling pathway [GO:0007186]; protein transport [GO:0015031]	GO:0005834; GO:0007186; GO:0015031; GO:0016021; GO:0031681	RMX47762.1
A0A3M6U241	A0A3M6U241_POCDA	unreviewed	pdam_00011778	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1128			RMX47753.1
