Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6V5J5	A0A3M6V5J5_POCDA	unreviewed	pdam_00005635	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	200	calcium ion binding [GO:0005509]	GO:0005509	RMX61150.1
A0A2B4SQ66	A0A2B4SQ66_STYPI	unreviewed	Zic3 AWC38_SpisGene4541	Stylophora pistillata (Smooth cauliflower coral)	Isopentenyl phosphate kinase (EC 2.7.4.26)	592	isopentenyl phosphate kinase activity [GO:0102043]; kinase activity [GO:0016301]; isoprenoid biosynthetic process [GO:0008299]	GO:0008299; GO:0016301; GO:0102043	PFX30662.1
A0A2B4SJ29	A0A2B4SJ29_STYPI	unreviewed	Ppp1r27 AWC38_SpisGene4539	Stylophora pistillata (Smooth cauliflower coral)	Protein phosphatase 1 regulatory subunit 27	462			PFX30674.1
A0A3M6V5I8	A0A3M6V5I8_POCDA	unreviewed	pdam_00005630	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.244)	1289	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]	GO:0016021; GO:0032580; GO:0033842	RMX61149.1
A0A3M6V656	A0A3M6V656_POCDA	unreviewed	pdam_00005619	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1100	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX61204.1
A0A3M6V5R3	A0A3M6V5R3_POCDA	unreviewed	pdam_00005616	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302	zinc ion binding [GO:0008270]	GO:0008270	RMX61209.1
A0A3M6U9G0	A0A3M6U9G0_POCDA	unreviewed	pdam_00017194	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein CLP1 homolog	449	mRNA cleavage factor complex [GO:0005849]; ATP binding [GO:0005524]; mRNA 3'-end processing [GO:0031124]	GO:0005524; GO:0005849; GO:0031124	RMX50241.1
A0A3M6U9A7	A0A3M6U9A7_POCDA	unreviewed	pdam_00017198	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AIG1-type G domain-containing protein	754	GTP binding [GO:0005525]	GO:0005525	RMX50243.1
A0A3M6U987	A0A3M6U987_POCDA	unreviewed	pdam_00017205	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	951	GTP binding [GO:0005525]	GO:0005525	RMX50252.1
A0A3M6U9M5	A0A3M6U9M5_POCDA	unreviewed	pdam_00017206	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	920	GTP binding [GO:0005525]	GO:0005525	RMX50249.1
A0A3M6T5K9	A0A3M6T5K9_POCDA	unreviewed	pdam_00015819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	956	oxidoreductase activity [GO:0016491]	GO:0016491	RMX36716.1
A0A3M6T5P6	A0A3M6T5P6_POCDA	unreviewed	pdam_00015814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	106			RMX36710.1
A0A3M6TIN4	A0A3M6TIN4_POCDA	unreviewed	pdam_00003277	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	261			RMX41128.1
A0A2B4R3I3	A0A2B4R3I3_STYPI	unreviewed	AWC38_SpisGene23899	Stylophora pistillata (Smooth cauliflower coral)	DNA-directed DNA polymerase (EC 2.7.7.7)	1289	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	PFX12181.1
A0A2B4SLY3	A0A2B4SLY3_STYPI	unreviewed	AWC38_SpisGene5839	Stylophora pistillata (Smooth cauliflower coral)	Dimer_Tnp_hAT domain-containing protein	704	protein dimerization activity [GO:0046983]	GO:0046983	PFX29415.1
A0A3M6UGI9	A0A3M6UGI9_POCDA	unreviewed	pdam_00004232	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	519	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211	RMX52689.1
A0A3M6UH47	A0A3M6UH47_POCDA	unreviewed	pdam_00004233	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1980	myosin complex [GO:0016459]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; motor activity [GO:0003774]	GO:0003774; GO:0005524; GO:0016459; GO:0051015	RMX52688.1
A0A2B4RTV5	A0A2B4RTV5_STYPI	unreviewed	SDK1 AWC38_SpisGene15904	Stylophora pistillata (Smooth cauliflower coral)	Protein sidekick-1	2838	integral component of membrane [GO:0016021]; ion transport [GO:0006811]	GO:0006811; GO:0016021	PFX19662.1
A0A3M6UGA6	A0A3M6UGA6_POCDA	unreviewed	pdam_00004251	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	522	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211	RMX52711.1
A0A3M6UGA7	A0A3M6UGA7_POCDA	unreviewed	pdam_00004256	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2729	cytoplasm [GO:0005737]; myosin complex [GO:0016459]; actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774]; sensory perception of sound [GO:0007605]	GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0007605; GO:0016459	RMX52710.1
A0A3M6UGB6	A0A3M6UGB6_POCDA	unreviewed	pdam_00004265	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	560	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX52693.1
A0A3M6UGR8	A0A3M6UGR8_POCDA	unreviewed	pdam_00004266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	628	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX52694.1
A0A2B4SGG8	A0A2B4SGG8_STYPI	unreviewed	tkr-1 AWC38_SpisGene7122	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor tkr-1	393	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX28153.1
A0A2B4S6H3	A0A2B4S6H3_STYPI	unreviewed	Ncam1 AWC38_SpisGene11354	Stylophora pistillata (Smooth cauliflower coral)	Neural cell adhesion molecule 1	793	integral component of membrane [GO:0016021]	GO:0016021	PFX24085.1
A0A2B4SP67	A0A2B4SP67_STYPI	unreviewed	Carf AWC38_SpisGene4848	Stylophora pistillata (Smooth cauliflower coral)	Calcium-responsive transcription factor	913	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0046872; GO:0061400	PFX30368.1
A0A3M6UBJ9	A0A3M6UBJ9_POCDA	unreviewed	pdam_00024558	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	280			RMX51035.1
A0A2B4RWS1	A0A2B4RWS1_STYPI	unreviewed	jockey\pol AWC38_SpisGene14519	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	1798	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX21010.1
A0A3M6U2G1	A0A3M6U2G1_POCDA	unreviewed	pdam_00012353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	894	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX47714.1
A0A3M6UK28	A0A3M6UK28_POCDA	unreviewed	pdam_00013151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	302			RMX54053.1
