Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A3M6V2F6	A0A3M6V2F6_POCDA	unreviewed	pdam_00023998	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1599	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]	GO:0008643; GO:0015293; GO:0016021	RMX60111.1
A0A3M6U155	A0A3M6U155_POCDA	unreviewed	pdam_00019325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	556	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]	GO:0008643; GO:0015293; GO:0016021	RMX47413.1
A0A2B4RL75	A0A2B4RL75_STYPI	unreviewed	MFSD12 AWC38_SpisGene18421	Stylophora pistillata (Smooth cauliflower coral)	Major facilitator superfamily domain-containing protein 12	609	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]	GO:0008643; GO:0015293; GO:0016021	PFX17250.1
A0A3M6U1B2	A0A3M6U1B2_POCDA	unreviewed	pdam_00019333	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	L-serine ammonia-lyase (EC 4.3.1.17)	394	L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; cellular amino acid metabolic process [GO:0006520]	GO:0003941; GO:0006520; GO:0030170	RMX47406.1
A0A3M6U188	A0A3M6U188_POCDA	unreviewed	pdam_00019335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tr-type G domain-containing protein	1144	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX47402.1
A0A2B4RKC6	A0A2B4RKC6_STYPI	unreviewed	AWC38_SpisGene18432	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	3497	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]	GO:0004930; GO:0005886; GO:0016021; GO:0016500	PFX17259.1
A0A3M6TMN5	A0A3M6TMN5_POCDA	unreviewed	pdam_00013386	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DZF domain-containing protein	1048	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX42606.1
A0A3M6TMQ8	A0A3M6TMQ8_POCDA	unreviewed	pdam_00013381	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	349	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX42601.1
A0A3M6TMM1	A0A3M6TMM1_POCDA	unreviewed	pdam_00013380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	346	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX42602.1
A0A3M6TMP8	A0A3M6TMP8_POCDA	unreviewed	pdam_00013372	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	KOW domain-containing protein	314	ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005840; GO:0006412	RMX42591.1
A0A3M6TMI3	A0A3M6TMI3_POCDA	unreviewed	pdam_00013367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	463	nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0003723; GO:0005634; GO:0006397; GO:0008380	RMX42607.1
A0A3M6TCI2	A0A3M6TCI2_POCDA	unreviewed	pdam_00021494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1100			RMX39028.1
A0A2B4SIY0	A0A2B4SIY0_STYPI	unreviewed	AWC38_SpisGene6130	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	781	ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981]	GO:0042981; GO:0043531	PFX29079.1
A0A2B4RIJ3	A0A2B4RIJ3_STYPI	unreviewed	AWC38_SpisGene19556	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2134			PFX16188.1
A0A2B4RLD9	A0A2B4RLD9_STYPI	unreviewed	CILP2 AWC38_SpisGene18052	Stylophora pistillata (Smooth cauliflower coral)	Cartilage intermediate layer protein 2	1210	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; protein homooligomerization [GO:0051260]	GO:0005509; GO:0005576; GO:0051260	PFX17623.1
